GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos
3816,"Williams, Louis",Louis Williams,20171220,lac,pho,H,20171220-pho-lac,22.5,108,95,0,28.08333333,1,1,20.2,21.75,19,20.2,18pt 1rb 2as 2to 1trey 6-18fg 5-6ft,0,0,7700,600,7600,200,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171218,lac,sas,A,20171218-lac-sas,20.5,91,109,0,0,0,1,0,0,0,0,,0,0,7100,-1400,7400,-300,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171216,lac,mia,A,20171216-lac-mia,20,85,90,1,36.26666667,1,1,17.7,21.75,19.25,17.7,13pt 1rb 7as 7to 1trey 4-16fg 4-4ft,0,0,8500,-300,7700,100,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171215,lac,was,A,20171215-lac-was,19,91,100,1,32.86666667,1,1,34,36.75,36,34,23pt 5rb 4as 1st 4to 3trey 5-14fg 10-10ft,0,0,8800,600,7600,-100,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171213,lac,orl,A,20171213-lac-orl,19,106,95,0,32.5,1,1,46.6,48.75,47,46.6,31pt 3rb 8as 1st 3to 3trey 11-22fg 6-8ft,0,0,8200,-200,7700,100,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171211,lac,tor,H,20171211-tor-lac,22.5,96,91,0,35.75,1,1,31.5,33.25,31.75,31.5,17pt 5rb 5as 1st 2to 3trey 6-18fg 2-2ft,0,0,8400,500,7600,0,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171209,lac,was,H,20171209-was-lac,15.5,113,112,0,37.03333333,1,1,48.4,51,50.5,48.4,35pt 2rb 8as 1to 4trey 11-20fg 9-10ft,0,0,7900,-100,7600,500,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171206,lac,min,H,20171206-min-lac,22.5,107,113,0,36.56666667,1,1,40.6,42.25,41.25,40.6,23pt 3rb 8as 1st 1to 4trey 9-20fg 1-2ft,0,0,8000,-100,7100,100,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171203,lac,min,A,20171203-lac-min,19,106,112,0,35.05,1,1,40,45.25,45.75,40,23pt 5rb 10as 4to 3trey 8-14fg 4-4ft,1,0,8100,100,7000,-800,,,31,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171202,lac,dal,A,20171202-lac-dal,14,82,108,1,32.95,1,1,26,27,24.25,26,18pt 6as 1to 1trey 4-16fg 9-10ft,0,0,8000,0,7800,500,,,31,2,2,12,,2
3816,"Williams, Louis",Louis Williams,20171130,lac,uta,H,20171130-uta-lac,22.5,107,126,1,36.93333333,1,1,33.9,34.5,33.75,33.9,20pt 2rb 5as 1st 1bl 2to 3trey 6-14fg 5-6ft,0,0,8000,700,7300,800,,,29,3,2,12,,2
3816,"Williams, Louis",Louis Williams,20171127,lac,lal,H,20171127-lal-lac,22.5,120,115,1,37.93333333,1,1,50.3,53.5,53.25,50.3,42pt 4rb 3as 1st 4to 4trey 12-21fg 14-14ft,0,0,7300,500,6500,-100,,,26,2,2,12,,2
3816,"Williams, Louis",Louis Williams,20171125,lac,sac,A,20171125-lac-sac,22,97,95,1,36.16666667,1,1,42.6,42.75,42.75,42.6,18pt 3rb 8as 4st 1bl 6to 4trey 6-14fg 2-2ft,0,0,6800,1400,6600,-500,,,24,-1,2,12,,2
3816,"Williams, Louis",Louis Williams,20171122,lac,atl,A,20171122-lac-atl,19.5,116,103,1,37.23333333,1,1,30.2,33.75,33.25,30.2,20pt 1rb 8as 1st 6to 3trey 7-15fg 3-3ft,0,0,5400,-600,7100,100,,,25,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171120,lac,nyk,A,20171120-lac-nyk,19.5,85,107,0,26.1,1,1,14.4,16,15.5,14.4,8pt 2rb 2as 1st 1bl 5to 2trey 2-8fg 2-2ft,0,0,6000,-800,7000,200,,,25,4,2,12,,2
3816,"Williams, Louis",Louis Williams,20171118,lac,cha,A,20171118-lac-cha,19,87,102,0,29.33333333,1,1,29.4,32.5,31,29.4,25pt 2rb 4as 4to 2trey 10-17fg 3-6ft,0,0,6800,-900,6800,200,,,21,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171117,lac,cle,A,20171117-lac-cle,19.5,113,118,0,37.15,1,1,24.9,26,23.25,24.9,13pt 2rb 7as 1st 4to 5-16fg 3-3ft,0,0,7700,2200,6600,1000,,,21,4,2,12,,2
3816,"Williams, Louis",Louis Williams,20171113,lac,phi,H,20171113-phi-lac,22.5,105,109,0,37.55,1,1,61.4,60.25,59.75,61.4,31pt 7rb 6as 5st 2to 5trey 9-19fg 8-10ft,0,0,5500,-200,5600,300,,,17,3,2,12,,2
3816,"Williams, Louis",Louis Williams,20171111,lac,nor,A,20171111-lac-nor,19,103,111,0,36.2,1,1,23.4,23,20.75,23.4,14pt 2rb 2as 2st 2to 1trey 5-16fg 3-3ft,0,0,5700,200,5300,100,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171110,lac,okc,A,20171110-lac-okc,21,111,120,0,39.1,1,1,44.9,49.75,50.5,44.9,35pt 7rb 3as 3to 6trey 13-22fg 3-3ft,0,0,5500,500,5200,200,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171107,lac,sas,A,20171107-lac-sas,20.5,107,120,0,26.95,1,1,26.7,27.25,27,26.7,17pt 1rb 3as 1st 1bl 2to 3trey 7-14fg,0,0,5000,500,5000,-100,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171105,lac,mia,H,20171105-mia-lac,15.5,101,104,0,29.68333333,1,1,24.4,27,25.5,24.4,22pt 2rb 2as 3to 2trey 8-18fg 4-4ft,0,0,4500,-100,5100,100,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171104,lac,mem,H,20171104-mem-lac,15.5,104,113,0,23.38333333,1,1,17.1,18.75,17.25,17.1,13pt 3rb 1as 1st 4to 1trey 4-12fg 4-4ft,0,0,4600,0,,,,,14,0,2,,,2
3816,"Williams, Louis",Louis Williams,20171101,lac,dal,H,20171101-dal-lac,22.5,119,98,0,18.01666667,1,1,26.8,28.5,28.75,26.8,17pt 4rb 4as 1to 2trey 5-8fg 5-5ft,0,0,4600,0,5000,-100,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171030,lac,gsw,H,20171030-gsw-lac,22.5,113,141,0,25.65,1,1,19.7,21.75,20.75,19.7,17pt 1rb 3as 3to 1trey 3-8fg 10-11ft,0,0,4600,-1400,5100,200,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171028,lac,det,H,20171028-det-lac,22.5,87,95,0,21.63333333,1,1,14.9,16.5,15.5,14.9,10pt 2rb 3as 2to 1trey 3-9fg 3-3ft,0,0,6000,900,4900,-400,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171026,lac,por,A,20171026-lac-por,22,104,103,0,18.51666667,1,1,14.5,15.5,15.25,14.5,13pt 1as 2trey 5-9fg 1-2ft,0,0,5100,-400,5300,400,,,14,0,2,12,,2
