,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,PTS OFF TO,2nd PTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
,John Henson,MIL,27,31,16,15,23.8,8,3.4,5.8,59.2,0,0.1,0,1.1,2.2,51.5,1.8,4.8,6.6,1.3,1.2,0.5,1.5,2.8,22.7,3,0,2.8,0.8,1.6,0.4,6.2,7.4,6.1,3.1,21.4,0.3,2.3,111.2,105.8,5.4,7.6,1.08,14,9.5,22.8,16.4,12.9,59.2,59.1,14.8,98.81,9.70,98.9,1.1,85.8,8.1,0,4.9,14.2,10.5,77.7,84.9,15.1,0,0,84.9,15.1
,Jordan Clarkson,LAL,25,32,11,21,22.5,14,5.6,12.2,45.5,1.2,3.5,33.3,1.8,2.3,77.8,0.9,2,2.9,3.1,1.7,0.7,0,1.3,22.5,0,0,-0.8,2,1.5,1.5,6.7,9.8,6.5,5.5,22.4,0.9,1.8,101.5,103.3,-1.7,23.3,1.8,17.2,4.3,9.5,7,9.5,50.3,53.1,27.9,104.18,12.50,71.6,28.4,62.8,15.1,24.7,10.7,12.5,14,47.7,27.7,72.3,81.1,18.9,38.8,61.2
,Kelly Oubre Jr.,WAS,22,34,19,15,27.9,11.5,3.9,9.4,41.7,1.4,3.9,36.8,2.3,2.8,81.9,0.8,4.4,5.2,1.1,1.1,0.9,0.5,2.8,22.5,0,0,1,2.4,1.9,1.5,4.1,9.3,8.4,6.6,25.8,0.6,2.4,106.3,104.2,2,6.3,1.03,8.9,3,17.6,10.2,8.7,49.4,54.4,18.3,100.42,8.90,58.3,41.7,42.9,7.7,37.5,13,19.6,20.9,35.2,42.9,57.1,87.8,12.2,59.4,40.6
,Kelly Olynyk,MIA,26,34,18,16,22.7,10.1,3.6,7.1,50.8,1.3,2.9,45.5,1.6,2.1,75,1,4.6,5.6,2.1,2.1,0.9,0.5,3.2,22.1,2,0,1.2,1.5,1.1,0.6,3.6,7.4,6,3.6,20.9,0.5,2.7,107,105.3,1.7,14.6,0.97,17,5.5,23.8,14.8,17.5,60.1,63,20.6,96.78,11.10,59.1,40.9,45.2,9.3,39.1,6.4,15.7,14.5,35.9,51.3,48.7,88.9,11.1,65,35
,Tyler Johnson,MIA,25,32,17,15,28.6,11.5,4,9.7,41.5,1.6,4.6,34.7,1.8,2.1,88.1,0.5,3.1,3.6,2.1,1.4,0.8,0.7,2.2,22,0,0,0.2,1.9,0.4,1.2,3.1,9.8,7.3,4.6,25.7,0.6,1.9,104.2,104.1,0.2,11.7,1.52,14.8,2.2,12.4,7.4,9.7,49.7,54,19.3,96.51,8.40,52.7,47.3,42.4,15.2,41.6,10.1,16,16.8,27.2,51.3,48.7,92.2,7.8,67.4,32.6
,Marcus Morris,BOS,28,17,13,4,23.7,11.5,4.1,10.1,40.1,1.2,3.7,31.7,2.2,2.6,84.4,0.4,5,5.4,1.5,1,0.6,0.2,1.8,21.8,1,0,0.5,0.9,1.1,0.9,3.2,7.5,6.3,5.7,22.1,0.2,2.2,106.2,106.4,-0.2,10.6,1.53,11.1,2,22.8,12.6,7.2,45.9,51.1,23.4,97.86,10.50,63.4,36.6,50,22.4,30.6,8.2,19.4,8.2,27.6,57.1,42.9,100,0,69.6,30.4
,Michael Kidd-Gilchrist,CHA,24,27,11,16,27,9.9,4.2,8.7,48.7,0,0.1,0,1.4,2.2,64.4,1.3,3.8,5,1.1,0.6,0.8,0.8,2.2,21.8,2,0,2.4,1.6,1.2,1.3,6.1,7.8,5.1,5.4,23.9,0.8,2,107.2,102.2,5,6.1,1.81,9.5,5,15,10,5.2,48.7,51.2,16.4,100.28,8.40,99.1,0.9,85.7,24.1,0,13.2,14.3,16.2,61.7,71.9,28.1,0,0,71.9,28.1
,Isaiah Canaan,PHX,26,7,5,2,22,10.1,2.6,6.7,38.3,1.1,2.9,40,3.9,4,96.4,0,2.3,2.3,4.7,1.7,1.1,0,1.4,21.7,0,0,4.3,1.7,0.4,2.3,2.6,8.4,6.7,6.1,22.6,0.9,2.6,110.1,100.8,9.2,33.3,2.75,31.6,0,10.9,5.8,11.5,46.8,59.8,20.2,99.75,14.10,57.4,42.6,28.2,2.8,33.8,22.5,38,16.9,25.4,40,60,62.5,37.5,50,50
,Tyson Chandler,PHX,35,26,10,16,25.3,6.8,2.7,4.2,64.8,0,0,0,1.4,2.1,65.5,2.8,6.6,9.4,1.2,1.2,0.4,0.7,2.7,21.7,2,0,-2.8,0.8,2.5,0.8,5.3,10.1,7.3,6.9,25.2,0.2,2.3,100.8,107,-6.2,6.3,0.97,15.5,11.4,26.8,19.1,16,64.8,66.6,10.4,102.33,11.40,100,0,79.5,1.1,0,11.9,20.5,11.4,78.4,67.1,32.9,0,0,67.1,32.9
,Denzel Valentine,CHI,24,33,11,22,28.5,9.5,3.6,8.9,40.8,1.9,4.7,40,0.4,0.5,76.5,0.7,4.4,5.1,2.9,0.9,0.8,0.1,2.2,21.7,2,0,-5.9,1.7,0.4,1.5,2.3,10.3,6.2,6.4,27.2,0.4,0.6,96.7,106.8,-10.1,15.8,3.17,22.3,2.6,17.4,9.6,7,51.4,52.2,15.7,98.43,8.80,47.3,52.7,36.8,12.7,59,15.6,4.1,18.1,24.1,44.8,55.2,79,21,62.5,37.5
,Wesley Matthews,DAL,31,35,10,25,34.4,11.6,4.1,10.6,39,2.3,6.1,37.3,1,1.3,81.8,0.3,2.8,3.1,2.8,1.5,1.1,0.1,2.2,21.6,0,0,-6.5,1.4,1,0.9,2.7,10.8,7.7,10.8,30.1,0.4,1.9,101.8,111.5,-9.8,12.6,1.88,18.1,0.9,9.7,5,9.6,49.6,51.7,16.9,96.92,6.00,43,57,32.6,9.4,58.5,7.9,8.9,12.3,23.2,42.4,57.6,88.6,11.4,67.6,32.4
,E'Twaun Moore,NOP,28,33,17,16,32.1,13,5.4,10.2,53.3,1.8,3.9,46.2,0.4,0.7,52.2,0.8,1.8,2.7,2,1.2,1,0.1,2.5,21.5,0,0,-1.4,2.5,1.5,2.2,5.9,11.8,9,10.2,31.2,0.5,0.7,108.6,109.3,-0.7,9.1,1.72,14.8,3.1,6.2,4.7,8.6,62.2,62.1,16.1,101.24,7.20,61.3,38.7,55.3,9.8,41.9,16.5,2.8,19.3,45.6,68.9,31.1,100,0,79.3,20.7
,Ersan Ilyasova,ATL,30,22,7,15,24.5,10.7,3.9,8.4,46.5,1.5,3.7,40.7,1.4,1.7,81.6,1.5,3,4.5,1.3,0.8,1,0.3,2.4,21.4,0,0,-1.5,1.8,1.7,1,3.5,8.5,8.6,6,22.9,0.4,2.5,107.8,108.6,-0.8,7.9,1.65,11.3,7.2,15.2,11.1,6.9,55.4,58.5,18.4,98.16,9.60,56.2,43.8,44.9,12.7,41.9,8.9,13.1,16.5,32.2,90.6,9.4,97,3,93,7
,Buddy Hield,SAC,24,31,11,20,22.9,12.6,4.9,10.8,45.1,2,4.4,45.3,0.9,1,90,0.6,3,3.7,1.5,1.6,1.1,0.2,1.7,21.3,0,0,-2.5,2.6,0.9,2.1,3.4,7.1,5.6,4.6,19.3,0.8,0.9,100.8,106,-5.2,10.8,0.92,10.2,3.2,15.3,9.2,11.1,54.3,56.1,25.5,96.49,11.00,59.1,40.9,45.5,18.9,47.6,16.9,6.9,20.7,26.6,42.7,57.3,80.6,19.4,58.3,41.7
,Danny Green,SAS,30,29,19,10,27.6,8.8,3.4,8.3,40.7,1.7,4.4,37.2,0.4,0.5,73.3,0.5,3.3,3.8,1.8,1.5,1.1,1.2,1.4,21.3,0,0,2.4,1.7,0.9,1.1,2.4,8,5.6,6,23.4,0.2,0.9,104.6,99.7,5,9.8,1.2,15.4,1.9,13,7.5,12.8,50.6,51.5,16.6,95.1,7.80,46.5,53.5,39.2,11.8,56.5,12.9,4.3,18.8,27.5,62,38,97.9,2.1,79.6,20.4
,Jeremy Lin,BKN,29,1,0,1,25.2,18,5,12,41.7,1,2,50,7,7,100,0,0,0,4,3,0,0,3,21,0,0,-6,6,0,2,6,13,11,24,36,1,4,108.9,120.7,-11.8,23.5,1.33,18.1,0,0,0,13.6,45.8,59.7,26.1,119.62,7.10,83.3,16.7,44.4,11.1,16.7,11.1,38.9,33.3,33.3,25,75,0,100,20,80
,Mike James,NOP,27,32,10,22,20.9,10.4,3.8,9.8,38.8,0.8,3,26.8,2,2.6,76.2,0.4,2.4,2.8,3.8,1.5,0.8,0.2,1.4,21,0,0,-0.9,2.2,0.5,1,4.8,7,6.2,5.8,20.7,0.7,2,104.4,106.2,-1.8,27.6,2.45,23.2,1.8,12.1,6.8,9.5,42.9,47.6,24.5,104.9,10.30,68.9,31.1,57.2,10.8,23.5,9.6,19.3,21.4,46.4,8.4,91.6,26.9,73.1,12.4,87.6
,Wilson Chandler,DEN,30,30,16,14,31,10.2,3.7,8.8,42.2,1.1,3.4,32,1.7,2,84.7,1.4,4,5.4,2.2,1.4,0.5,0.3,2.1,21,2,0,1.6,1.8,1.2,1.1,4.7,12.2,6.3,8.2,29.3,0.3,1.6,107.9,104.1,3.9,10,1.57,16.6,5,14.3,9.7,10.6,48.5,52.8,15.6,98.56,7.30,60.8,39.2,51.1,5.2,32.5,11.1,16.4,18,45.9,42.3,57.7,93.9,6.1,57.7,42.3
,Trevor Booker,PHI,30,26,9,17,20.5,9.3,3.8,7.3,52.6,0.1,0.5,23.1,1.5,2.3,63.9,2.3,3.9,6.3,1.9,1.5,0.5,0.4,2,20.8,4,0,0.5,1.8,2.1,0.9,7,8.1,6.3,3.4,18.8,0.5,1.9,110.1,108.9,1.1,13.7,1.26,16.1,12.5,20.9,16.7,12.8,53.4,55.8,20,103.2,11.20,93.2,6.8,80.2,5,3.7,9.9,16.1,19.4,75.2,56.7,43.3,100,0,58,42
,Bojan Bogdanovic,IND,28,34,19,15,31.5,14.1,5.2,10.8,48.2,2,4.9,40.5,1.6,1.9,84.8,0.2,2.9,3.2,1.3,1.3,0.7,0.1,1.7,20.8,0,0,-0.1,2.5,1.3,3.6,5.1,9.9,8.9,8.2,30.9,0.8,1.8,107,105.9,1.1,6.2,1,9.3,0.9,10,5.6,9.3,57.5,60.3,18.5,99.34,8.30,54.2,45.8,45.6,9.2,42.7,25.5,11.7,17.8,36.4,50.5,49.5,100,0,69.5,30.5
,T.J. McConnell,PHI,25,28,14,14,23.9,7.1,3.1,5.8,52.8,0.5,0.9,50,0.5,0.6,82.4,0.6,2.8,3.4,4.7,1.9,1.1,0.3,2,20.5,1,0,-1.6,0.8,0.8,0.8,3.8,10.8,7.3,5.4,22.3,0.5,0.7,100.9,102.4,-1.6,28.6,2.44,37,2.7,11.3,7.2,15.1,56.7,58.4,13.7,106.24,10.60,84,16,73.4,20.1,19.6,10.6,7,11.6,53.3,31.5,68.5,100,0,41.9,58.1
