,PLAYER,POS,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,2ndPTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,PERIPHERAL,Cluster
204,Jerian Grant,PG,CHI,25,33,11,22,22.7,8.7,3.1,6.8,44.7,0.8,2.4,34.6,1.7,2.5,70.4,0.5,1.9,2.4,4.8,1.4,0.9,0.1,1.9,20.4,1,0,-3.3,0.5,0.7,2.2,8.1,5.0,5.3,20.2,0.2,2.5,101.5,110.3,-8.8,33.1,3.53,34.1,2.1,9.7,5.7,9.7,50.7,54.7,18.2,97.34,10.1,65.5,34.5,51.7,25.9,28.3,8.4,19.9,10.1,25.9,17.6,82.4,59.3,40.7,28.7,71.3,11.7,4
217,George Hill,PG,SAC,31,29,10,19,26.7,10.1,3.7,7.8,47.1,1.4,2.8,49.4,1.4,1.8,75.5,0.4,2.6,3.0,2.8,1.4,0.9,0.3,1.5,20.2,0,0,-5.9,0.8,0.9,3.5,8.6,6.4,6.7,24.3,0.2,2.3,98.7,111.5,-12.8,16.3,2.0,22.1,1.9,11.9,6.6,11.0,56.0,58.8,16.8,95.73,9.6,64.0,36.0,45.2,10.3,41.1,8.6,13.7,15.4,34.9,33.3,66.7,70.0,30.0,47.2,52.8,10.1,6
48,Mason Plumlee,C,DEN,27,34,19,15,19.9,6.8,2.9,5.1,56.6,0.0,0.0,0.0,1.0,2.6,39.1,1.8,3.9,5.6,2.0,1.6,0.7,1.1,2.1,20.2,2,0,0.5,1.3,0.4,5.5,7.9,4.9,4.4,19.0,0.4,2.2,107.2,106.2,1.0,14.3,1.22,20.0,10.2,21.4,15.9,16.4,56.6,54.4,17.2,100.0,9.3,99.4,0.6,85.3,4.3,0.0,6.5,14.7,12.5,81.0,69.7,30.3,0.0,0.0,69.7,30.3,13.399999999999999,5
142,Ryan Anderson,PF,HOU,29,31,24,7,28.3,10.7,3.6,8.3,44.0,2.4,6.0,39.6,1.0,1.2,81.6,1.5,3.9,5.4,0.9,0.9,0.4,0.4,2.0,20.1,2,0,3.7,1.6,1.0,1.5,10.9,6.9,8.0,29.4,0.2,1.3,112.7,107.3,5.4,4.8,1.0,8.7,6.1,15.5,10.9,8.7,58.4,60.5,15.0,100.72,7.9,27.2,72.8,23.6,9.1,67.1,9.4,9.4,16.0,14.5,33.3,66.7,98.6,1.4,76.1,23.9,9.400000000000002,3
352,David Nwaba,SG,CHI,25,21,10,11,23.5,7.9,3.0,5.2,56.4,0.1,0.5,27.3,1.9,3.0,62.9,0.9,4.3,5.2,1.6,0.8,0.9,0.6,2.1,20.0,1,0,1.7,1.3,1.8,5.6,7.6,5.2,5.0,22.1,0.2,2.4,104.2,101.3,2.9,9.6,1.94,17.6,4.1,19.6,11.8,9.1,57.7,60.5,13.5,100.71,10.2,90.0,10.0,71.1,0.0,5.4,22.9,23.5,14.5,71.1,55.9,44.1,100.0,0.0,58.1,41.9,12.1,3
216,Jarrett Jack,PG,NYK,34,31,17,14,26.1,6.6,2.7,6.5,42.5,0.4,1.2,29.7,0.8,1.0,77.4,0.4,3.2,3.5,6.0,1.9,0.6,0.0,1.6,19.8,2,0,1.2,0.7,0.4,2.8,9.8,6.5,6.8,22.6,0.3,1.7,107.7,106.7,0.9,29.7,3.19,40.5,1.6,13.2,7.6,12.7,45.3,48.0,14.7,98.96,9.0,81.5,18.5,72.2,30.2,16.1,5.9,11.7,11.7,42.0,21.6,78.4,54.5,45.5,25.9,74.1,13.200000000000001,4
140,JaMychal Green,PF,MEM,27,20,3,17,28.0,9.7,3.8,8.0,47.5,0.9,2.4,35.4,1.2,1.7,70.6,2.1,4.5,6.6,1.2,1.7,0.5,0.2,2.6,19.8,2,0,-6.2,1.8,1.7,4.8,10.5,5.7,8.6,25.0,0.8,1.6,101.8,114.9,-13.1,7.1,0.73,10.3,9.1,20.4,14.6,14.2,52.8,55.2,17.7,91.61,8.0,70.0,30.0,61.1,11.4,26.4,17.1,12.4,14.5,49.7,61.0,39.0,100.0,0.0,69.7,30.3,10.100000000000001,3
354,Marco Belinelli,SG,ATL,31,33,8,25,24.1,11.7,3.9,9.6,41.1,1.9,5.0,38.2,1.9,2.0,95.5,0.2,1.9,2.2,2.2,1.2,1.0,0.1,0.8,19.6,0,0,-3.5,1.2,0.8,1.7,9.1,7.2,5.9,22.5,0.2,2.0,102.6,112.4,-9.8,14.4,1.9,16.1,1.0,9.6,5.1,8.5,51.1,56.0,20.8,100.2,10.0,47.8,52.2,34.6,20.2,48.8,6.5,16.5,13.7,14.5,74.6,25.4,85.7,14.3,80.0,20.0,7.900000000000002,2
33,Kyle O'Quinn,C,NYK,27,33,17,16,16.5,6.4,2.6,4.5,57.4,0.0,0.2,0.0,1.2,1.6,74.1,1.5,4.3,5.8,2.0,1.5,0.5,1.1,2.7,19.5,2,0,0.8,1.5,0.1,4.2,6.5,4.5,3.2,12.0,0.4,1.4,107.6,105.4,2.2,18.2,1.37,23.3,11.3,29.1,20.6,17.0,57.4,61.1,18.2,96.92,13.5,96.6,3.4,81.0,15.2,0.0,1.9,19.0,17.1,65.7,63.5,36.5,0.0,0.0,63.5,36.5,13.1,5
207,Terry Rozier,PG,BOS,23,37,27,10,23.3,8.7,3.1,8.4,37.5,1.5,4.1,35.9,1.0,1.2,78.3,0.6,3.7,4.4,2.0,0.7,1.0,0.0,1.4,19.4,0,0,0.9,0.8,1.6,2.2,6.9,5.7,4.4,20.3,0.5,1.3,100.5,98.3,2.2,14.7,2.85,17.2,2.9,16.8,9.8,6.1,46.4,49.1,18.6,96.93,11.0,50.5,49.5,37.8,12.4,51.1,18.3,11.1,20.1,25.4,24.6,75.4,74.5,25.5,48.3,51.7,10.7,0
